                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3218,                 1.3499,                 1.2125,                0.73768,                 0.6403,                0.68366,                0.39243,                 1.2987,                0.87476,                 1.1888,             0.00015746,             0.00015746,             0.00015746
                      2,                 1.1987,                 0.8413,                 1.1346,                0.76397,                0.65335,                 0.7188,                0.43033,                 1.2817,                0.80047,                 1.2167,             0.00030048,             0.00030048,             0.00030048
                      3,                 1.1893,                0.76834,                 1.1416,                0.71262,                0.69033,                0.69865,                0.38383,                 1.3175,                0.85288,                 1.2465,             0.00042779,             0.00042779,             0.00042779
                      4,                 1.1716,                0.75436,                 1.1224,                0.78669,                0.64611,                0.70653,                0.40627,                 1.3496,                0.91422,                 1.2861,             0.00040531,             0.00040531,             0.00040531
                      5,                 1.1479,                0.70933,                 1.1154,                0.85077,                0.71397,                0.78089,                0.44314,                 1.3243,                0.81149,                 1.2465,             0.00040531,             0.00040531,             0.00040531
                      6,                 1.1275,                0.70198,                 1.1104,                0.79008,                0.73138,                  0.776,                0.46425,                 1.2574,                0.73783,                 1.1952,             0.00038175,             0.00038175,             0.00038175
                      7,                 1.0957,                0.65692,                 1.0863,                0.82904,                0.74706,                0.81663,                0.45813,                 1.2646,                0.73618,                 1.2048,             0.00035819,             0.00035819,             0.00035819
                      8,                 1.0831,                0.63589,                 1.0888,                0.83465,                 0.7389,                0.79056,                0.45851,                 1.2637,                0.66647,                  1.194,             0.00033463,             0.00033463,             0.00033463
                      9,                 1.0664,                0.61436,                 1.0773,                0.84867,                0.74013,                0.80123,                0.47878,                 1.2494,                0.67806,                 1.1907,             0.00031107,             0.00031107,             0.00031107
                     10,                 1.0566,                0.60693,                 1.0694,                 0.8547,                0.75279,                0.81287,                0.48105,                 1.2221,                0.68517,                 1.1746,              0.0002875,              0.0002875,              0.0002875
                     11,                 1.0249,                0.57645,                 1.0584,                0.88763,                0.75054,                0.82657,                0.49112,                 1.2041,                0.65122,                 1.1617,             0.00026394,             0.00026394,             0.00026394
                     12,                 1.0138,                0.55428,                 1.0435,                0.83904,                0.77191,                0.82264,                 0.4956,                 1.1981,                0.63843,                   1.16,             0.00024038,             0.00024038,             0.00024038
                     13,                0.99001,                0.53103,                 1.0449,                0.85253,                 0.7664,                0.83584,                0.50423,                 1.2155,                0.65079,                 1.1825,             0.00021682,             0.00021682,             0.00021682
                     14,                0.97518,                0.51485,                  1.028,                0.84215,                0.79018,                0.84112,                0.51694,                 1.1767,                0.61509,                 1.1409,             0.00019326,             0.00019326,             0.00019326
                     15,                0.94975,                0.49338,                 1.0195,                0.84785,                0.80649,                0.85513,                0.52442,                   1.15,                 0.6151,                  1.141,             0.00016969,             0.00016969,             0.00016969
                     16,                0.92713,                 0.4761,                 1.0088,                0.87442,                0.79351,                0.85444,                0.52062,                 1.1487,                0.60287,                 1.1338,             0.00014613,             0.00014613,             0.00014613
                     17,                0.90911,                 0.4572,                0.99277,                0.85707,                0.82868,                0.86007,                0.52194,                 1.1481,                0.58678,                 1.1296,             0.00012257,             0.00012257,             0.00012257
                     18,                0.90323,                0.45038,                0.99438,                0.87633,                0.78916,                 0.8607,                0.53092,                 1.1509,                  0.574,                 1.1296,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     19,                0.88212,                0.42615,                0.98079,                0.87274,                 0.8184,                0.86546,                0.53289,                 1.1601,                0.56815,                 1.1391,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     20,                0.86781,                0.42046,                0.97563,                0.87111,                 0.8204,                 0.8633,                0.54084,                 1.1444,                0.57324,                 1.1216,             5.1884e-05,             5.1884e-05,             5.1884e-05
